name,description,property_type_name,province_name,district_name,ward_name,street_name,project_name,price,area,floor_count,frontage_width,house_depth,road_width,bedroom_count,bathroom_count,house_direction,balcony_direction,published_at,latitude,longitude,is_market_coverage
Nhà 1 Hồ Chí Minh,Coverage row generated from market priors and Hugging Face schema.,Nhà,Hồ Chí Minh,1,,,,16092965974,85.93,2.0,,,,3.0,3.0,,,,10.790879,106.724238,True
Hàng hiếm - biệt thự 3 mặt thoáng 160m2. 5 tầng. 100 tỷ,"HÀNG HIẾM - NGON - BÁN KÍN ĐÁO - KHÁCH NÉT THÌ LÀM VIỆC ACE NHÉ BIỆT THỰ PHỐ - 3 MẶT THOÁNG - MẶT TRƯỚC KD - MẶT SAU VIEW HỒ TÂY - Ở CỰC SƯỚNG Nhà mặt phố bố làm cực to, ở sướng, kd đa dạng. Nhà dạng biệt thự 5 tầng. Tầng 1 sân, gara, phòng khách. T2 bếp phòng ăn. T3,4 mỗi tầng 2 phòng. T5 phòng thờ sân phơi. Sổ đẹp cất két. Chủ quan chức, bán kín đáo tế nhị. Ace check khách nét hãy dẫn vào, tránh mất thời gian. Khi cực kỳ ưng sẽ sắp xếp cho xem trong. BIỆT THỰ PHỐ - 3 MẶT THOÁNG - MẶT TRƯỚC KD - MẶT SAU VIEW HỒ TÂY - Ở CỰC SƯỚNG Nhà mặt phố bố làm cực to, ở sướng, kd đa dạng. Nhà dạng biệt thự 5 tầng. Tầng 1 sân, gara, phòng khách. T2 bếp phòng ăn. T3,4 mỗi tầng 2 phòng. T5 phòng thờ sân phơi. Sổ đẹp cất két.Giao dịch nhanh",Biệt thự/Nhà liền kề,Hà Nội,Tây Hồ,Quảng An,Tô Ngọc Vân,,47910738865,165.27,4.0,6.1,,,4.0,6.0,,,2026-02-02T20:16:19.303000,21.065205,105.82593,False
Gia đình cần tiền bán gấp biệt thự view công viên 136m2 sát chung cư mua 24 tỷ bán nhanh chỉ 21 tỷ,"Bán nhanh siêu phẩm biệt thự song lập Vịnh Tây view công viên, bể bơi. + DT đất: 136m2. + DTXD: 262m2. Giá gốc: 24 tỷ. Mua vay được HTLS 0% trong vòng 18 tháng (đến 01/06/2026). Mua trả nhanh chỉ: 21 tỷ. + Đối diện là công viên, bể bơi phân khu Vịnh Tây. + Mặt tiền siêu rộng 8m. + Trục đường thông VT6 từ Đại Lộ Bốn Mùa ra thẳng khu chung cư cao cấp. + Sản phẩm biệt thự song lập hữu hạn view công viên luôn là dòng tiềm năng sinh lời cao nhất. Liên hệ:",Biệt thự/Nhà liền kề,Hưng Yên,Văn Giang,Nghĩa Trụ,,Vinhomes Ocean Park 3,15886361283,142.95,5.0,8.0,,20.0,7.0,9.0,Tây - Bắc,Tây - Bắc,2025-09-08T14:29:03.888000,20.651141,106.05693,False
Shophouse Trung tâm Sóc Trăng,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Sóc Trăng,Trung tâm,,,,7615527850,187.45,5.0,,,,3.0,5.0,,,,9.609626,105.980633,True
Nhà đẹp 5 sao - trung tâm Đống Đa - tặng full nội thất,"Siêu phẩm Đống Đa - nhà đẹp 5 sao - siêu vip phố hiếm - nhỉnh 6 tỷ. Bán nhà phố Tôn Đức Thắng giáp Ba Đình - full nội thất 5 sao: 30m2, 4 tầng, rộng 5 m. Giá 6 tỷ 350. LH gặp chủ [phone_number]",Nhà,Hà Nội,Đống Đa,Hàng Bột,Tôn Đức Thắng,,5429495911,31.97,4.0,5.0,,,4.0,3.0,,,2025-06-20T13:16:34.799000,21.015108,105.827029,False
Shophouse Trung tâm Lạng Sơn,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Lạng Sơn,Trung tâm,,,,1636888352,60.98,2.0,,,,1.0,2.0,,,,21.84688,106.759724,True
Ô TÔ 4 CHỖ ĐỖ CỔNG - RỘNG - PHỐ VIP THÁI HÀ - HÀNG HIẾM - DÂN XÂY,"Ô TÔ 4 CHỖ ĐỖ CỔNG - RỘNG - PHỐ VIP THÁI HÀ - HÀNG HIẾM - DÂN XÂY Mô tả: + Nhà nằm ở vị trí đẹp, ô tô đỗ cửa, khu phố hiêm nhà bán, lên nhà nào bay nhanh nhà đấy, khu vực nhiều khách hàng tìm kiếm mà không có nhà bán. Nhà còn mới đẹp, thiết kế hiện đại, khoa học, chủ mới mua về chỉ việc xách vali vào ở. + Giao thông di chuyển thuận tiện, tiện ích xung quanh bạt ngàn kể. Thiết kế: - Tầng 1: Sân để xe rông, phòng khách, bếp, WC. - Tầng 2, 3: Mỗi tầng 2 phòng ngủ, wc. - Tầng 4: Phòng thờ, sân phơi, phòng đọc sách. Sổ đỏ chính chủ, sẵn sàng bàn giao. Liên hệ :",Nhà,Hà Nội,Đống Đa,,Thái Hà,,14708726833,57.2,3.0,,,,4.0,2.0,,,2025-10-17T13:27:25.752000,21.020224,105.825032,False
Nhà Trung tâm Hòa Bình,Coverage row generated from market priors and Hugging Face schema.,Nhà,Hòa Bình,Trung tâm,,,,4084099038,192.23,4.0,,,,1.0,2.0,,,,20.791652,105.347686,True
"Giá đợt 1, rẻ hơn 1 tỷ so với căn bên cạnh + bốc thăm xe VF9, biệt thự SL Bình Minh 228m2 chỉ 37 tỷ","Vinhomes Wonder City là khu đô thị duy nhất phía Tây Hà Nội có các căn liền kề, biệt thự mặt tiền từ 8 - 12m thực sự đẳng cấp. 1 khu đô thị all in one: Trường học, bệnh viện, trung tâm thương mại, công viên giải trí... Vinhomes Wonder City Đan Phượng nằm trên trục xương sống kết nối phía Tây của HN với mạng lưới giao thông vô cùng thuận tiện. Nằm giữa VĐ 3.5 và VĐ4, tiếp giáp đại lộ Tây Thăng Long. Chỉ 15 phút di chuyển tới Hồ Tây, Ngoại Giao Đoàn. Tây Thăng Long đường rộng 60m, 10 làn xe sẽ thông xe ngay quý 2/2026. - Biệt thự song lập mật độ xây dựng chiếm 58%, sân vườn siêu rộng, chủ sở hữu thoải mái trải nghiệm các mẫu thiết kế sân vườn. - Mặt đường 13m, đi bộ vài bước chân đến công viên trung tâm, sân tập golf 3500m2, bể bơi tiêu chuẩn olympic... - Chương trình đặc biệt chỉ có trong tháng 7, 8 này: Bốc thăm xe VF9 với tỷ lệ trúng thưởng cực cao, 5 căn bốc thăm 1 xe. + Căn 37 tỷ là căn giá tốt nhất trên bảng hàng, không lỗi lầm gì. Anh chị quan tâm liên hệ ngay để nhận phiếu tính giá chi tiết nhé. Liên hệ Ms Hường:",Biệt thự/Nhà liền kề,Hà Nội,Đan Phượng,Tân Hội,,Vinhomes Wonder City,49745470289,222.38,5.0,12.0,,,4.0,5.0,,,2026-01-05T15:32:25.255000,21.036672,105.86791,False
Biệt thự/Nhà liền kề Trung tâm Bắc Ninh,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Ninh,Trung tâm,,,,10721063835,169.37,3.0,,,,3.0,5.0,,,,21.171418,106.070258,True
"Giá mới 3,939 tỷ (bớt lộc) nhanh mới kịp lô góc 2 mặt tiền cực đẹp. Đường Số 28, Gò Vấp","Giá mới 3,939 tỷ (bớt lộc). Nhanh mới kịp lô góc 2 mặt tiền cực đẹp. Đường Số 28 Phường 6 Quận Gò Vấp. 5 phút qua Cityland 10 phút sang Bình Thạnh. Diện tích công nhận: 41m2. Ngang: 5m Nở hậu: 5.5m (tài lộc). Hẻm: 3m, khu dân trí cao, an ninh. Kết cấu: 1 trệt 1 lầu kiên cố. 2 PN 2 WC. Nhà mới, vào ở ngay. Hiện trạng: Nhà đang cho thuê 7 triệu/tháng. Tiện ích bán kính 200m: Trường học các cấp. Chợ An Nhơn. Khu Cityland sầm uất. Đầy đủ dịch vụ sinh hoạt, không thiếu thứ gì. Pháp lý: Sổ hồng riêng vuông vức A4. LH:",Nhà,Hồ Chí Minh,Gò Vấp,6,,,5732484781,41.34,3.0,5.0,,3.0,2.0,3.0,,,2025-12-29T08:38:59.020000,10.766115,106.695172,False
Biệt thự/Nhà liền kề Trung tâm Hà Tĩnh,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Hà Tĩnh,Trung tâm,,,,3023093884,82.04,5.0,,,,2.0,2.0,,,,18.338914,105.900131,True
"Bán Mặt Phố Vũ Tông Phan, Thanh Xuân, Dt 128m2 * 9 tầng & bán hầm, vỉa hè 4m, KD sầm uất, 52 tỷ.","Bán nhà mặt phố Vũ Tông Phan Thanh Xuân 128m x 9 tầng thang máy - ô tô tránh 4 làn & vỉa hè rộng 4m, giá 52 tỷ ( thương lượng ). Bán nhà mặt phố Vũ Tông Phan quận Thanh Xuân, Hà Nội, diện tích 128m, xây 9 tầng thang máy, mặt tiền rộng 5.5m, đường ô tô tránh, vỉa hè lớn, kinh doanh đỉnh. Vị trí đắc địa bậc nhất khu vực trung tâm Thanh Xuân, giao thông thuận tiện, kết nối trực tiếp Ngã Tư Sở Nguyễn Trãi Kim Giang Định Công Nguyễn Xiển. Tuyến phố đang mở rộng, hạ tầng hoàn thiện nhanh, tiềm năng tăng giá cực mạnh khi Vành đai 2.5 hoàn thiện. Khu vực phân lô quân đội, dân trí cao, an ninh tốt, phù hợp ở, làm building văn phòng, spa, showroom, căn hộ dịch vụ hoặc giữ tài sản lâu dài. Hiện đang cho thuê lên đến 180 triệu/tháng. Giá bán: 52 tỷ (có thương lượng) Pháp lý: Sổ đỏ chính chủ, sẵn sàng giao dịch ngay. Liên hệ em Được - Chuyên nhà mặt phố, building dòng tiền khu Vũ Tông Phan Nguyễn Xiển Kim Giang Thanh Xuân.",Nhà,Hà Nội,Thanh Xuân,Hạ Đình,Vũ Tông Phan,,30313632000,128.0,4.0,6.0,,,4.0,3.0,,,2025-10-20T15:06:40.302000,20.981638,105.814154,False
Biệt thự/Nhà liền kề Trung tâm Hà Nam,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Hà Nam,Trung tâm,,,,4120317971,120.0,3.0,,,,3.0,4.0,,,,20.565907,105.927413,True
Căn hộ chung cư Trung tâm Hà Giang,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Hà Giang,Trung tâm,,,,2006951139,172.41,4.0,,,,3.0,4.0,,,,22.846091,104.971326,True
Bán nhà mặt tiền kinh doanh đường Đỗ Thừa Luông Q.Tân Phú 72m2 đúc 1 lầu giá chỉ 8.9 tỷ,"Bán nhà mặt tiền kinh doanh đường Đỗ Thừa Luông Q.Tân Phú 72m2 đúc 1 lầu giá chỉ 8.9 tỷ - Diện tích : 4x18m nở hậu nhẹ - Hiện trạng : 1 trệt 1 lầu đang cho thuê 13 triệu - Mặt tiền 12m thông thoáng có lề , gần nhà thờ Tân Thái Sơn , chợ Tân Hương - Hướng : Bắc - Pháp lý : Sổ hồng riêng , hoàn công đầy đủ - Giá bán : 8.9 tỷ bớt lộc Liên hệ [phone_number] Hoàng Ân TanPhuLand ------------------------------------- CÔNG TY TNHH DỊCH VỤ BĐS TÂN PHÚ Trụ sở : 142 Trương Vĩnh Ký P.Tân Sơn Nhì Q.Tân Phú https://tanphuland.vn/quan-ly-tin-dang/ https://www.facebook.com/groups/tanphuland.vn",Nhà,Hồ Chí Minh,Tân Phú,Tân Quý,Đỗ Thừa Luông,,11093026057,77.56,4.0,12.0,,,2.0,2.0,Bắc,Bắc,2025-10-18T08:40:09.117000,10.809559,106.634073,False
"Bán nhà thổ cư Tấn Lộc, Phường Tấn Tài, Phan Rang","Bán nhà thổ cư tại Tấn Lộc, phường Tấn Tài, thành phố Phan Rang. Diện tích: 94m2 (ngang 5m x 19m). Hướng Bắc. Nhà có phòng khách, 2 phòng ngủ, 1 WC. Nhà mới xây sạch sẽ, chỉ việc dọn vào ở. Hẻm xe hoa lâm, khu vực yên tĩnh. Giá bán nhanh: 890 triệu (bớt lộc). Liên hệ [phone_number] (Zalo).",Nhà,Ninh Thuận,Phan Rang - Tháp Chàm,,,,2039011044,92.97,1.0,5.0,19.0,,2.0,1.0,Bắc,,2025-08-20T10:30:10.690000,11.556996,109.002983,False
Biệt thự/Nhà liền kề Biên Hòa Đồng Nai,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Đồng Nai,Biên Hòa,,,,5981396044,80.0,3.0,,,,4.0,4.0,,,,10.942262,106.842669,True
"Bán nhà riêng 4PN, 5WC, 60m2 tại Thống Nhất, Gò Vấp, 6,6 tỷ","Nhà riêng 4PN, 5WC, diện tích 60m2 tọa lạc tại đường Thống Nhất, P 16, Gò Vấp, TP. HCM. Đây là một cơ hội hoàn hảo để sở hữu không gian sống lý tưởng cho gia đình. - Diện tích: 60m2. - Số phòng ngủ: 4PN. - Số toilet: 5WC. - Số tầng: 4. - Hướng cửa chính: Tây Bắc. - Hướng ban công: Tây Bắc. - Mặt tiền: 6m, ngõ trước: 4m. - Giá: 6,6 tỷ VND. - Nội thất: Cơ bản, bao gồm điều hòa, tủ lạnh... Ưu điểm: - Pháp lý đầy đủ, đảm bảo an toàn cho giao dịch. - Mặt tiền rộng, phù hợp cho kinh doanh. - Ngõ vào rộng rãi, thuận lợi cho việc di chuyển. - Phong thủy tốt, mang lại tài lộc cho gia chủ. Gần các tiện ích như: - Gần trường mầm non Hạnh Thông Tây. - Gần siêu thị Bách Hóa Xanh và siêu thị Mẹ Bầu & Em Bé Con Cưng. - Gần trạm y tế phường 16 và bệnh viện quận Gò Vấp. - Có công viên Làng Hoa Gò Vấp, thuận tiện cho việc thư giãn. Liên hệ để được tư vấn miễn phí qua số điện thoại [phone_number] - Trần Vũ Đại.",Nhà,Hồ Chí Minh,Gò Vấp,16,Thống Nhất,,9058166016,55.56,4.0,6.0,,,3.0,6.0,Tây Bắc,Tây Bắc,2025-07-25T11:14:05.548000,10.761686,106.686621,False
Đất Trung tâm Lạng Sơn,Coverage row generated from market priors and Hugging Face schema.,Đất,Lạng Sơn,Trung tâm,,,,1058795161,57.72,0.0,,,,0.0,0.0,,,,21.835082,106.772996,True
"Bán nhà quận Hoàn Kiếm phố Hồng Hà 35m2 x 5 tầng, mặt tiền 5m, sổ đỏ vuông vắn dân xây chắc chắn","Bán nhà quận Hoàn Kiếm phố Hồng Hà 35 m2 x 5 tầng, mặt tiền 5 m, sổ đỏ vuông vắn dân xây chắc chắn quy hoạch ổn định. Nhà đẹp - dân xây - trung tâm Hoàn Kiếm - quy hoạch ổn định. - Trung tâm Hoàn Kiếm, trung tâm Văn Hóa Hà Nội... Gần khu Du lịch Sông Hồng... - Nhà 5 tầng dân chắc chắn, 50m ra MP Bạch Đằng, nhà đẹp ở luôn, đầy đủ công năng, ngõ thông ba gác. Trước nhà đẹp thoáng sáng. - An ninh quá đảm bảo, gần trường học tiểu học và trung học phổ thông vọng hà, gần chợ, siêu thị tiện ích ngập tràn. - T1: Khách bếp wc. - T2 3 4: Mỗi tầng 1 ngủ wc. - T5: Phòng thờ sân phơi. - Sổ đỏ chính chủ - Pháp lý quá chuẩn - Không quy hoạch. - Liên hệ chị Lan xem mua nhà mtg.",Nhà,Hà Nội,Hoàn Kiếm,Chương Dương,Hồng Hà,,6634160826,35.59,4.0,5.0,,4.0,3.0,4.0,,,2025-12-24T11:04:22.548000,21.027523,105.85175,False
Nhà Trung tâm Bình Thuận,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bình Thuận,Trung tâm,,,,4008248684,120.66,2.0,,,,4.0,1.0,,,,10.937337,108.107838,True
Đất Bắc Từ Liêm Hà Nội,Coverage row generated from market priors and Hugging Face schema.,Đất,Hà Nội,Bắc Từ Liêm,,,,7663227739,58.23,0.0,,,,0.0,0.0,,,,21.002143,105.841653,True
Nhà Trung tâm Quảng Nam,Coverage row generated from market priors and Hugging Face schema.,Nhà,Quảng Nam,Trung tâm,,,,7117061503,182.24,5.0,,,,1.0,2.0,,,,15.56088,107.994393,True
Đất đẹp xuân nộn lô góc 2 mặt tiền ô tô tải vào tận nơi,"ĐẤT ĐẸP XUÂN NỘN LÔ GÓC 2 MẶT TIỀN Ô TÔ TẢI VÀO TẬN NƠI Diện tích: 59.4m² full thổ cư Kích thước: Mặt tiền 4m Hậu 4m, vuông vắn đẹp chuẩn Hiện trạng: Đất trống, sẵn sàng xây dựng Vị trí: Thôn Xuân Nộn, xã Xuân Nộn Pháp lý: Sổ đỏ chính chủ, cất két giao dịch ngay Giá bán: 4.25 tỷ Ưu điểm nổi bật: Lô góc 2 mặt tiền thoáng sáng Đường ngõ ô tô tải vào đất dễ dàng Khu dân cư đông đúc, hạ tầng hoàn thiện Lựa chọn hoàn hảo để xây ở hoặc đầu tư lâu dài!",Đất,Hà Nội,Đông Anh,,,,6450997092,60.14,0.0,4.0,,,0.0,0.0,,,2025-09-11T06:58:20.923000,21.017781,105.857069,False
Chính chủ bán nhà đơn lập Đường Cao Trung 1 - ngay gần ngã tư Trạm Trôi và đường QL32 - Hàng hiếm,"Nhà riêng 4 tầng tại Đường Cao Trung 1, Thị trấn Trạm Trôi, Hoài Đức, Hà Nội, diện tích 40m2, giá 3,8 tỷ VND. + 4PN, 3WC, nội thất cơ bản, sẵn sàng sử dụng. + Mặt tiền 3,5m, ngõ vào 2,3m, thuận tiện cho ô tô ra vào. + Pháp lý đầy đủ, sổ đỏ. + Có điều hòa, tủ lạnh, giường... Trong nhà. Địa điểm tiện ích xung quanh: + Gần siêu thị T - Mart. + Bệnh viện đa khoa Hoài Đức. + Học viện Khoa học Quân sự. Liên hệ ngay để biết thêm chi tiết và đặt lịch xem nhà: [phone_number] - Tư Võ.",Nhà,Hà Nội,Hoài Đức,Trạm Trôi,,,5339140771,42.42,3.0,3.5,,,5.0,3.0,Tây Nam,Tây Nam,2025-06-18T11:02:09.735000,21.026997,105.853987,False
Biệt thự/Nhà liền kề Trung tâm Hà Giang,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Hà Giang,Trung tâm,,,,1492632985,60.0,4.0,,,,4.0,4.0,,,,22.827358,104.965242,True
Shophouse 1 Hồ Chí Minh,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Hồ Chí Minh,1,,,,11991237507,47.33,4.0,,,,3.0,3.0,,,,10.767102,106.712742,True
"1tỷ89 có 1PN Happy One Mori TP. HCM gần Aeon Mall, view sân golf, booking 30tr nhận ưu đãi đặc biệt","Happy One Mori. Tọa lạc ngay trục đường Lái Thiêu 14, TP. HCM, Happy One Mori không chỉ là nơi để ở, mà còn là khoản đầu tư hấp dẫn khi sở hữu vị trí chiến lược hiếm có: Kết nối giao thông chiến lược: Liền kề các tuyến đường huyết mạch: Quốc Lộ 13, cầu Phú Long, Vành đai 3 và tuyến Metro số 2 tương lai, giúp cư dân di chuyển nhanh chóng về trung tâm TP. HCM và các khu vực lân cận. (Mr. Hải: [phone_number] - PKD CĐT). Tiềm năng đầu tư vượt trội: Cách các khu - cụm công nghiệp trọng điểm như Vsip 1, Sóng Thần, Linh Trung, Tân Đông Hiệp chỉ 5 - 10 phút di chuyển, Happy One Mori trở thành lựa chọn lý tưởng cho các chuyên gia và kỹ sư làm việc tại đây. Điều này mở ra cơ hội đầu tư cho thuê hấp dẫn với nguồn cầu lớn và ổn định. Môi trường sống lý tưởng: Bên cạnh tầm nhìn đắt giá sân golf Sông Bé và sông Sài Gòn, Happy One Mori còn nằm ngay giao điểm thịnh vượng, thừa hưởng sự phát triển đồng bộ về cả hạ tầng giao thông, văn hóa, giáo dục, thương mại, giải trí giúp cư dân dễ dàng tiếp cận tiện ích đa dạng: Trường học các cấp, bệnh viện quốc tế, trung tâm thương mại, khu vui chơi giải trí sầm uất... Dự án sẽ chính thức khởi công xây dựng ngày 9/8/2025, sẵn sàng tạo sóng mới trên thị trường bất động sản TP. HCM. Quý khách quan tâm vui lòng liên hệ ngay cho em Hải: [phone_number]. Nhận ưu đãi độc quyền. Giai đoạn giá F0 từ chủ đầu tư. Vị trí: Lái Thiêu 14, P. Lái Thiêu, Hồ Chí Minh. Chủ đầu tư: Vạn Xuân Group. (Dòng sản phẩm thứ 5 thương hiệu Happy One của tập đoàn Vạn Xuân). Trung tâm hành chính - đô thị công nghiệp sầm uất khu Đông Bắc Sài Gòn, hơn 6 cụm KCN lớn với hàng trăm nghìn lao đồng và hàng chục nghìn chuyên gia quốc tế. Chỉ 5 phút đến: Aeon Mall, KCN Vsip, Trường cao đẳng Kinh tế Bình Dương, Lotte Mart, KCN Vsip, KCN Việt Hương, KCN Sóng Thần,... 10km về TP. Thủ Đức - 30 phút về trung tâm Q1. Quý khách quan tâm vui lòng liên hệ ngay cho em Hải: [phone_number]. Để được hỗ trợ tư vấn miễn phí và nhận ngay nhiều ưu đãi đặc quyền riêng. Làm việc bằng cái tâm - chắc chắn sẽ vươn tầm.",Căn hộ chung cư,Bình Dương,Thuận An,Thuận Giao,,The One World,1765691051,50.32,7.0,,,,2.0,2.0,Đông Bắc,,2025-10-09T04:15:08.537000,10.982384,106.657807,False
Cần Bán Nhà đường số 9.BHH.Bình Tân Dt : 4 x 16m5 xây 1 trệt 3 lầu - hẻm 6m giá 6ty200 tl,Cg Bán nhà Đường Số 9.BHH.Bình Tân - Dt : 4 x 16m40 xây 1 trệt 3 lầu - hẻm 6m oto - nhà đẹp nội thất full - giá :6ty200 tl Liên Hệ: [phone_number] Hoàng Phan,Nhà,Hồ Chí Minh,Bình Tân,Bình Hưng Hòa,,,10488635145,64.48,4.0,4.0,,,5.0,3.0,,,2025-11-12T08:49:01.914000,10.773654,106.682975,False
Căn hộ chung cư Dĩ An Bình Dương,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Bình Dương,Dĩ An,,,,3914173016,85.43,5.0,,,,3.0,1.0,,,,10.964568,106.638057,True
"MTKD p.Tân Thành, Tân Phú, dt 4x15m sẵn hợp đồng thuê giá chỉ 9 tỷ hơn","MTKD p.Tân Thành, Tân Phú, dt 4x15m sẵn hợp đồng thuê giá chỉ 9 tỷ hơn Chuyển công tác cần bán nhà chính chủ ngay mặt tiền kinh doanh, p. Tân Thành, Tân Phú Diện tích: 4x15m Kết cấu: 1 trệt 2 lầu Vị trí ngay mặt tiền kinh doanh, đường rộng đẹp sáng, xe hơi thoải mái, xung quanh các tiện ích đầy đủ. Đang cho thuê 12tr/th Giá chỉ 9,2 tỷ còn thương lượng cho khách thiện chí Liên hệ: em Ly [phone_number]hỗ trợ tư vấn miễn phí 24/7 qua Viber - Zalo) BĐS chuyên nhà phố, mặt tiền kinh doanh Quận Tân Phú BĐS chuyên nhà phốm mặt tiền kinh doanh Quận Tân Bình Chuyên nhận ký gởi, mua bán, cho thuê BĐS",Nhà,Hồ Chí Minh,Tân Phú,Tân Thành,Nguyễn Hậu,,11218281495,59.89,4.0,,,,3.0,3.0,,,2025-06-06T04:06:17.378000,10.801974,106.636887,False
Căn hộ chung cư Trung tâm Ninh Thuận,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Ninh Thuận,Trung tâm,,,,2062753800,127.21,4.0,,,,2.0,3.0,,,,11.545526,108.973006,True
Đất Trung tâm Yên Bái,Coverage row generated from market priors and Hugging Face schema.,Đất,Yên Bái,Trung tâm,,,,2043024985,121.94,0.0,,,,0.0,0.0,,,,21.713048,104.893821,True
"Hiếm! Bán nhà phố Hạ Yên Quyết, gần phố, 2 thoáng, ô tô, ở sướng 55m2*5T, 13.6 tỷ","- Bán nhà phố Hạ Yên Quyết, gần phố, 2 thoáng, ô tô, ở sướng 55m2*5T, 13.6 tỷ - Trung tâm Cầu Giấy, giao thông thuận tiện kết nối các tuyến phố trung tâm - Khu vực Víp, dân trí cao, tiện ích ngập tràn, gần nhiều trường học chất lượng: THPT Yen Hoà, THCS Cầu Giấy, Nguyễn Siêu, Lương Thế Vinh... - Nhà dân xây chắc chắn, chủ mới ở ngay hoặc sửa lên tầng lắp thang máy + Tầng 1: Phòng khách + bếp + WC. + Tầng 2,3,4: 3 ngủ + WC. + Tầng 5: Phòng thờ + sân phơi. - Sổ đỏ chính chủ, sẵn sàng giao dịch. - LH: Em Yến [phone_number] để được tư vấn và xem nhà.",Nhà,Hà Nội,Cầu Giấy,Yên Hòa,Hạ Yên,,10906416120,50.62,4.0,,,,4.0,4.0,,,2026-02-14T05:35:35.021000,21.035829,105.772045,False
Nhà Trung tâm Nam Định,Coverage row generated from market priors and Hugging Face schema.,Nhà,Nam Định,Trung tâm,,,,5292954781,184.08,2.0,,,,1.0,2.0,,,,20.430048,106.168672,True
Shophouse Trung tâm Phú Yên,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Phú Yên,Trung tâm,,,,8951846270,178.01,5.0,,,,6.0,3.0,,,,13.089058,109.3347,True
Đất Đống Đa Hà Nội,Coverage row generated from market priors and Hugging Face schema.,Đất,Hà Nội,Đống Đa,,,,22304720065,194.31,0.0,,,,0.0,0.0,,,,21.032288,105.880021,True
"Tòa 8T thang máy, thông sàn, kinh doanh sầm uất, vỉa hè đá bóng, 100m2, MT 6m, giá 60 tỷ","100m2 x 8T thang máy, thông sàn, MT 6m Vị trí kinh doanh sầm uất, vỉa hè cực rộng, đỗ ô tô, xe máy thoải mái Khu vực nhiều sinh viên, kinh doanh quần áo, máy tính, điện thoại quá tốt LH [phone_number] hoặc [phone_number]",Nhà,Hà Nội,Cầu Giấy,Dịch Vọng,Cầu Giấy,,21663934870,97.52,5.0,6.0,,,4.0,4.0,,,2025-11-13T14:56:58.758000,21.041178,105.784669,False
Cần bán căn hộ thông tầng full nội thất bậc nhất Ecopark,"Sở hữu căn hộ nghỉ dưỡng 2 tầng, thiết kế sang trọng ngay trung tâm toà khoáng nóng Landmark. Thông tin căn hộ: Diện tích ~ 150m2 thiết kế 3PN 3VS view trọn Hồ Thiên Nga, vườn Nhật và sân Golf. Full nội thất cao cấp bàn giao đúng như hình. Hưởng trọn tiện ích đẳng cấp: Suối khoáng Onsen, bể bơi, vườn Nhật, hồ Koi, phòng gym. Giá bán: 14.5 tỷ bao toàn bộ thuế phí sang tên sổ đỏ. - Liên hệ em để được tư vấn và nhận thông tin chi tiết",Căn hộ chung cư,Hưng Yên,Văn Giang,Xuân Quan,,Swan Lake Onsen Residences,10051168585,143.71,7.0,,,,3.0,2.0,Tây - Nam,Đông - Bắc,2025-06-28T09:15:48.684000,20.654707,106.067477,False
490 triệu đất đẹp Lâm Hà | view săn mây cách chợ Tân Hà 3km,"490 triệu đất đẹp Lâm Hà | view săn mây cách chợ Tân Hà 3km. Mặt tiền đường bê tông. Diện tích: 240m2. - Ngang: 8m. - Đất ở sẵn thổ cư. Đất bằng phẳng, cao ráo, view thoáng khí hậu mát mẻ quanh năm. Phù hợp: Xây nhà ở, nghỉ dưỡng, đầu tư. Liên hệ: [phone_number]",Đất,Lâm Đồng,Lâm Hà,Tân Văn,,,7484455424,232.48,0.0,8.0,,,0.0,0.0,,,2025-07-23T09:08:19.128000,11.949843,108.474564,False
Nhà Trung tâm Vĩnh Phúc,Coverage row generated from market priors and Hugging Face schema.,Nhà,Vĩnh Phúc,Trung tâm,,,,2247712205,60.0,1.0,,,,1.0,4.0,,,,21.32085,105.585063,True
Đất Trung tâm Gia Lai,Coverage row generated from market priors and Hugging Face schema.,Đất,Gia Lai,Trung tâm,,,,2684002421,122.21,0.0,,,,0.0,0.0,,,,13.997484,108.011531,True
Đất Trung tâm Đắk Nông,Coverage row generated from market priors and Hugging Face schema.,Đất,Đắk Nông,Trung tâm,,,,1713178667,75.82,0.0,,,,0.0,0.0,,,,12.278171,107.621643,True
